gene	cell_type	AAB_vs_Control	tau	top_celltype	above_floor	call	is_called_ct	confident_call
ANKRD55	mesenchymal cell	-0.000130757805891335	0.7873310140577033	PP cell	False	below detection	False	False
ANKRD55	unknown	0.0	0.7873310140577033	PP cell	False	below detection	False	False
MAPT	PP cell	-0.005371619015932083	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	acinar cell	0.01396191492676735	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	alpha cell	0.0014552157372236252	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	beta cell	0.002966940402984619	0.7871473685703367	beta cell	False	below detection	True	False
MAPT	delta cell	-0.01266874186694622	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	duct epithelial cell	-0.0008374154567718506	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	endothelial cell	0.0023555420339107513	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	epsilon cell	0.04960481449961662	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	leukocyte	-0.0025442903861403465	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	mesenchymal cell	0.005829453933984041	0.7871473685703367	beta cell	False	below detection	False	False
MAPT	unknown	-0.000534963677637279	0.7871473685703367	beta cell	False	below detection	False	False
GLIS3	PP cell	0.015642553567886353	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	acinar cell	-0.0024764537811279297	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	alpha cell	0.016218293458223343	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	beta cell	0.013121843338012695	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	delta cell	0.0310983806848526	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	duct epithelial cell	0.08568483591079712	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	True	True
GLIS3	endothelial cell	-0.05649244040250778	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	epsilon cell	-0.019443482160568237	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	leukocyte	0.0008887983858585358	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	mesenchymal cell	0.02995598316192627	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
GLIS3	unknown	0.021252449601888657	0.7843099717421782	duct epithelial cell	True	duct epithelial cell	False	True
HORMAD2	PP cell	0.0031991407740861177	0.7827551171980558	PP cell	False	below detection	True	False
HORMAD2	acinar cell	-3.2272298994939774e-05	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	alpha cell	0.0012534591369330883	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	beta cell	0.0003524941857904196	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	delta cell	-0.002168202307075262	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	duct epithelial cell	-4.8083347792271525e-06	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	endothelial cell	0.0	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	epsilon cell	0.0	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	leukocyte	0.0	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	mesenchymal cell	-0.00048106949543580413	0.7827551171980558	PP cell	False	below detection	False	False
HORMAD2	unknown	0.0	0.7827551171980558	PP cell	False	below detection	False	False
TOX	PP cell	-0.010969296097755432	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	acinar cell	0.0080671152099967	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	alpha cell	0.004036553204059601	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	beta cell	0.02699562907218933	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	delta cell	0.005776882171630859	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	duct epithelial cell	0.00010108575224876404	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	endothelial cell	-0.0004020802734885365	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	epsilon cell	-0.09605789184570312	0.7823025660104863	epsilon cell	False	below detection	True	False
TOX	leukocyte	-0.0007220283150672913	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	mesenchymal cell	-0.0020202258601784706	0.7823025660104863	epsilon cell	False	below detection	False	False
TOX	unknown	0.00543903186917305	0.7823025660104863	epsilon cell	False	below detection	False	False
BACH2	PP cell	0.005165209993720055	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	acinar cell	0.007360856980085373	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	alpha cell	0.013988722115755081	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	beta cell	-0.005277782678604126	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	delta cell	-0.007745349779725075	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	duct epithelial cell	0.06591533869504929	0.78071540604493	duct epithelial cell	False	below detection	True	False
BACH2	endothelial cell	0.028359126299619675	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	epsilon cell	0.03465735912322998	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	leukocyte	0.010816670954227448	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	mesenchymal cell	0.023912861943244934	0.78071540604493	duct epithelial cell	False	below detection	False	False
BACH2	unknown	0.004684164188802242	0.78071540604493	duct epithelial cell	False	below detection	False	False
NYAP2	PP cell	0.009294353425502777	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	acinar cell	1.778773730620742e-05	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	alpha cell	0.008605102077126503	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	beta cell	-0.00036236178129911423	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	delta cell	-0.0018176659941673279	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	duct epithelial cell	0.00021149404346942902	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	endothelial cell	-0.00047290741349570453	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	epsilon cell	0.015677090734243393	0.7737789326942036	epsilon cell	False	below detection	True	False
NYAP2	leukocyte	-0.002100446028634906	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	mesenchymal cell	-0.0020712437108159065	0.7737789326942036	epsilon cell	False	below detection	False	False
NYAP2	unknown	0.00048534537199884653	0.7737789326942036	epsilon cell	False	below detection	False	False
NUPR1	PP cell	-0.011453468352556229	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	acinar cell	0.10083770751953125	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	alpha cell	0.0027225036174058914	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
